order_date,order_id,customer_id,customer,segment,channel,product_id,product,category,quantity,unit_price,discount_pct,line_total,returned
2025-09-09,1001,11,Cole Marsh,Regular,Referral,25,Sheet Mask,Beauty,1,8.59,0,8.59,0
2025-09-09,1002,50,Drew Brooks,Champion,Email,39,RC Car,Toys,1,33.63,0,33.63,0
2025-09-09,1002,50,Drew Brooks,Champion,Email,13,Webcam,Electronics,2,64,0,128,0
2025-09-09,1003,63,Cole Bauer,Champion,Organic,36,Puzzle 500pc,Toys,1,44.86,10,40.37,0
2025-09-09,1003,63,Cole Bauer,Champion,Organic,28,SPF 50 Lotion,Beauty,1,34.44,0,34.44,0
2025-09-09,1003,63,Cole Bauer,Champion,Organic,26,Shampoo Bar,Beauty,1,33.06,5,31.41,0
2025-09-09,1004,73,Mateo Tan,At-Risk,Social,15,Smart Plug,Electronics,1,110.18,0,110.18,0
2025-09-09,1004,73,Mateo Tan,At-Risk,Social,33,Jump Rope,Sports,2,33.41,0,66.82,0
2025-09-09,1005,85,Jamie Bauer,New,Email,2,Hoodie,Apparel,1,19.91,0,19.91,0
2025-09-09,1006,101,Noel Ibarra,Loyal,Paid Search,4,Joggers,Apparel,2,42.18,5,80.14,0
2025-09-09,1006,101,Noel Ibarra,Loyal,Paid Search,39,RC Car,Toys,3,33.63,0,100.89,0
2025-09-09,1007,114,Avery Marsh,Loyal,Social,6,Beanie,Apparel,1,30.7,10,27.63,0
2025-09-09,1008,126,Devon Costa,New,Paid Search,9,Wireless Earbuds,Electronics,1,94.29,0,94.29,0
2025-09-09,1008,126,Devon Costa,New,Paid Search,26,Shampoo Bar,Beauty,1,33.06,0,33.06,0
2025-09-09,1009,129,Avery Ahmed,Regular,Organic,13,Webcam,Electronics,1,64,0,64,0
2025-09-09,1010,151,Harper Patel,Loyal,Social,19,Cutting Board,Home,3,53.71,0,161.13,0
2025-09-09,1010,151,Harper Patel,Loyal,Social,14,Power Bank,Electronics,1,64.37,0,64.37,0
2025-09-09,1011,172,Morgan Okafor,Loyal,Direct,25,Sheet Mask,Beauty,1,8.59,0,8.59,0
2025-09-09,1011,172,Morgan Okafor,Loyal,Direct,8,Chino Pants,Apparel,1,64.72,0,64.72,0
2025-09-09,1012,185,Kai Bauer,Loyal,Direct,27,Hand Cream,Beauty,3,18.43,0,55.29,0
2025-09-09,1012,185,Kai Bauer,Loyal,Direct,25,Sheet Mask,Beauty,1,8.59,5,8.16,1
2025-09-09,1013,188,Priya Park,Loyal,Organic,23,Vitamin C Serum,Beauty,1,32.33,5,30.71,1
2025-09-09,1013,188,Priya Park,Loyal,Organic,37,Plush Bear,Toys,2,15.95,10,28.71,0
2025-09-09,1013,188,Priya Park,Loyal,Organic,13,Webcam,Electronics,1,64,5,60.8,0
2025-09-09,1013,188,Priya Park,Loyal,Organic,26,Shampoo Bar,Beauty,1,33.06,5,31.41,0
2025-09-09,1014,276,Riley Costa,Loyal,Referral,28,SPF 50 Lotion,Beauty,1,34.44,10,31,0
2025-09-09,1014,276,Riley Costa,Loyal,Referral,23,Vitamin C Serum,Beauty,1,32.33,10,29.1,0
2025-09-09,1014,276,Riley Costa,Loyal,Referral,21,Storage Bin,Home,1,28.6,10,25.74,0
2025-09-09,1014,276,Riley Costa,Loyal,Referral,30,Water Bottle,Sports,1,46.55,0,46.55,0
